"taxon","structural_zero (Response = Non_Responder)","structural_zero (Response = Responder)"
"Bacteroides_ndongoniae",FALSE,TRUE
"Bacteroides_nordii",FALSE,FALSE
"Bacteroides_ovatus",FALSE,FALSE
"Bacteroides_propionicigenes",FALSE,FALSE
"Bacteroides_rodentium",FALSE,FALSE
"Bacteroides_salyersiae",FALSE,FALSE
"Bacteroides_SGB1909",FALSE,FALSE
"Bacteroides_SGB1911",TRUE,FALSE
"Bacteroides_sp_AF16_49",FALSE,TRUE
"Bacteroides_sp_AF39_11AC",FALSE,FALSE
"Bacteroides_sp_GM023",TRUE,FALSE
"Bacteroides_sp_Marseille_P3684",FALSE,TRUE
"Bacteroides_stercorirosoris",FALSE,FALSE
"Bacteroides_stercoris",FALSE,FALSE
"Bacteroides_thetaiotaomicron",FALSE,FALSE
"Bacteroides_togonis",FALSE,TRUE
"Bacteroides_uniformis",FALSE,FALSE
"Bacteroides_xylanisolvens",FALSE,FALSE
"GGB1350_SGB1808",FALSE,TRUE
"GGB1354_SGB1818",FALSE,FALSE
"GGB1364_SGB1834",TRUE,FALSE
"GGB1379_SGB1880",TRUE,FALSE
"GGB1379_SGB48439",FALSE,TRUE
"GGB1380_SGB1883",TRUE,FALSE
"GGB1387_SGB1894",TRUE,FALSE
"GGB28262_SGB40814",TRUE,FALSE
"GGB82120_SGB113575",TRUE,FALSE
"Mediterranea_massiliensis",FALSE,TRUE
"Phocaeicola_barnesiae",FALSE,TRUE
"Phocaeicola_coprocola",FALSE,FALSE
"Phocaeicola_coprophilus",FALSE,FALSE
"Phocaeicola_dorei",FALSE,FALSE
"Phocaeicola_faecalis",FALSE,FALSE
"Phocaeicola_faecicola",TRUE,FALSE
"Phocaeicola_massiliensis",FALSE,FALSE
"Phocaeicola_plebeius",FALSE,FALSE
"Phocaeicola_sartorii",FALSE,FALSE
"Phocaeicola_vulgatus",FALSE,FALSE
"Bacteroidales_bacterium",FALSE,FALSE
"Bacteroidales_unclassified_SGB2124",TRUE,FALSE
"Barnesiella_intestinihominis",FALSE,FALSE
"Barnesiella_viscericola",FALSE,TRUE
"Coprobacter_fastidiosus",FALSE,FALSE
"Coprobacter_secundus",FALSE,FALSE
"GGB1425_SGB1964",TRUE,FALSE
"Dysgonomonas_mossii",FALSE,TRUE
"GGB1461_SGB2024",TRUE,FALSE
"GGB1497_SGB2076",FALSE,FALSE
"GGB1512_SGB2092",FALSE,TRUE
"GGB1538_SGB2121",FALSE,FALSE
"GGB1539_SGB2122",FALSE,TRUE
"GGB1543_SGB2126",TRUE,FALSE
"GGB1547_SGB2131",FALSE,TRUE
"GGB1549_SGB2133",TRUE,FALSE
"GGB1550_SGB2135",FALSE,FALSE
"GGB1551_SGB2136",FALSE,TRUE
"GGB1554_SGB2141",FALSE,TRUE
"GGB1559_SGB2146",FALSE,TRUE
"GGB1567_SGB2154",TRUE,FALSE
"GGB1568_SGB2155",TRUE,FALSE
"GGB1578_SGB2169",TRUE,FALSE
"GGB24127_SGB35930",TRUE,FALSE
"GGB27851_SGB40285",FALSE,FALSE
"GGB27873_SGB40307",FALSE,TRUE
"GGB27876_SGB40310",TRUE,FALSE
"GGB46149_SGB63917",FALSE,TRUE
"GGB70873_SGB95326",TRUE,FALSE
"GGB74478_SGB48259",FALSE,FALSE
"Muribaculum_gordoncarteri",FALSE,FALSE
"Muribaculum_intestinale",TRUE,FALSE
"Butyricimonas_faecalis",FALSE,FALSE
"Butyricimonas_faecihominis",FALSE,FALSE
"Butyricimonas_paravirosa",FALSE,FALSE
"Butyricimonas_synergistica",FALSE,FALSE
"Butyricimonas_virosa",FALSE,FALSE
"Culturomica_massiliensis",FALSE,FALSE
"GGB1331_SGB1787",FALSE,TRUE
"GGB1331_SGB1788",FALSE,FALSE
"GGB1332_SGB1789",FALSE,FALSE
"Odoribacter_laneus",FALSE,FALSE
"Odoribacter_splanchnicus",FALSE,FALSE
"Porphyromonadaceae_bacterium_FC4",TRUE,FALSE
"Porphyromonas_asaccharolytica",FALSE,FALSE
"Porphyromonas_bennonis",FALSE,FALSE
"Porphyromonas_SGB1977",FALSE,FALSE
"Porphyromonas_SGB1979",FALSE,TRUE
"Porphyromonas_SGB1980",FALSE,FALSE
"Porphyromonas_SGB1982",FALSE,TRUE
"Porphyromonas_SGB1983",FALSE,FALSE
"Porphyromonas_SGB1984",TRUE,FALSE
"Porphyromonas_somerae",FALSE,FALSE
"Porphyromonas_sp_HMSC065F10",TRUE,FALSE
"Porphyromonas_uenonis",TRUE,FALSE
"Sanguibacteroides_justesenii",FALSE,FALSE
"GGB1146_SGB1472",FALSE,TRUE
"GGB1153_SGB1481",FALSE,FALSE
"GGB1215_SGB1581",FALSE,FALSE
"GGB1221_SGB1590",FALSE,TRUE
"GGB1247_SGB1668",FALSE,FALSE
"GGB1249_SGB1670",FALSE,TRUE
"Marseilla_massiliensis",FALSE,TRUE
"Paraprevotella_clara",FALSE,FALSE
"Prevotella_bergensis",TRUE,FALSE
"Prevotella_bivia",FALSE,FALSE
"Prevotella_buccalis",FALSE,FALSE
"Prevotella_corporis",FALSE,FALSE
"Prevotella_dentalis",FALSE,TRUE
"Prevotella_denticola",FALSE,TRUE
"Prevotella_disiens",FALSE,FALSE
"Prevotella_lascolaii",FALSE,FALSE
"Prevotella_marseillensis",FALSE,FALSE
"Prevotella_nigrescens",FALSE,FALSE
"Prevotella_oralis",TRUE,FALSE
"Prevotella_pectinovora",FALSE,TRUE
"Prevotella_SGB1589",TRUE,FALSE
"Prevotella_SGB48271",TRUE,FALSE
"Prevotella_sp_885",FALSE,FALSE
"Prevotella_stercorea",FALSE,FALSE
"Prevotella_timonensis",FALSE,FALSE
"Prevotellamassilia_timonensis",FALSE,TRUE
"Segatella_brasiliensis",FALSE,TRUE
"Segatella_brunsvicensis",FALSE,FALSE
"Segatella_copri",FALSE,FALSE
"Segatella_hominis",FALSE,FALSE
"Segatella_sinensis",FALSE,FALSE
"Sgatella_sinensis",FALSE,TRUE
"Alistipes_communis",FALSE,FALSE
"Alistipes_dispar",FALSE,FALSE
"Alistipes_finegoldii",FALSE,FALSE
"Alistipes_ihumii",FALSE,FALSE
"Alistipes_indistinctus",FALSE,FALSE
"Alistipes_montrealensis",FALSE,FALSE
"Alistipes_onderdonkii",FALSE,FALSE
"Alistipes_provencensis",FALSE,FALSE
"Alistipes_putredinis",FALSE,FALSE
"Alistipes_senegalensis",FALSE,FALSE
"Alistipes_SGB2300",FALSE,FALSE
"Alistipes_SGB2302",FALSE,FALSE
"Alistipes_SGB2313",FALSE,FALSE
"Alistipes_shahii",FALSE,FALSE
"Alistipes_sp_AF17_16",FALSE,FALSE
"Alistipes_sp_An31A",TRUE,FALSE
"Alistipes_sp_An66",FALSE,FALSE
"Alistipes_timonensis",FALSE,FALSE
"Gallalistipes_aquisgranensis",FALSE,TRUE
"GGB1672_SGB2289",FALSE,TRUE
"GGB1689_SGB2321",FALSE,TRUE
"GGB1690_SGB40190",FALSE,FALSE
"GGB1691_SGB2323",FALSE,FALSE
"Rikenellaceae_bacterium",FALSE,FALSE
"Parabacteroides_distasonis",FALSE,FALSE
"Parabacteroides_faecis",FALSE,FALSE
"Parabacteroides_goldsteinii",FALSE,FALSE
"Parabacteroides_gordonii",FALSE,FALSE
"Parabacteroides_johnsonii",FALSE,FALSE
"Parabacteroides_merdae",FALSE,FALSE
"Parabacteroides_SGB1950",FALSE,TRUE
"Parabacteroides_sp_AGMB00274",FALSE,FALSE
"Parabacteroides_sp_N37",TRUE,FALSE
"Parabacteroides_sp_TM07_1AC",FALSE,FALSE
"GGB1630_SGB2238",FALSE,TRUE
"GGB1631_SGB2239",FALSE,FALSE
"GGB1632_SGB2240",TRUE,FALSE
"GGB47687_SGB2286",FALSE,FALSE
"GGB1515_SGB48227",FALSE,FALSE
"GGB1266_SGB1699",FALSE,FALSE
"GGB1511_SGB2091",TRUE,FALSE
"GGB74504_SGB48228",FALSE,TRUE
"GGB1093_SGB1404",FALSE,FALSE
"GGB1096_SGB1408",FALSE,FALSE
"GGB77016_SGB104875",TRUE,FALSE
"GGB1420_SGB1956",FALSE,FALSE
"GGB1420_SGB1957",FALSE,FALSE
"GGB1455_SGB2018",FALSE,FALSE
"GGB1456_SGB2019",FALSE,FALSE
"GGB1495_SGB2071",FALSE,FALSE
"GGB1496_SGB2072",TRUE,FALSE
"GGB1496_SGB2073",FALSE,TRUE
"GGB13054_SGB20235",TRUE,FALSE
"GGB13054_SGB20236",TRUE,FALSE
"GGB13054_SGB20238",TRUE,FALSE
"GGB13056_SGB20241",TRUE,FALSE
"GGB13056_SGB20243",TRUE,FALSE
"GGB1627_SGB2227",FALSE,FALSE
"GGB1627_SGB2229",TRUE,FALSE
"GGB1627_SGB2230",FALSE,FALSE
"GGB1661_SGB2275",FALSE,FALSE
"GGB1662_SGB2276",FALSE,FALSE
"GGB1663_SGB2278",TRUE,FALSE
"GGB1663_SGB2279",FALSE,TRUE
"GGB27930_SGB40369",FALSE,TRUE
"Candidatus_Gastranaerophilales_bacterium",FALSE,FALSE
"GGB5979_SGB8597",FALSE,FALSE
"GGB5979_SGB8598",TRUE,FALSE
"GGB5980_SGB8599",FALSE,FALSE
"GGB13727_SGB8655",TRUE,FALSE
"GGB5997_SGB8620",FALSE,FALSE
"GGB6001_SGB8624",FALSE,FALSE
"GGB6002_SGB24096",TRUE,FALSE
"GGB6002_SGB8625",FALSE,FALSE
"GGB6006_SGB8630",FALSE,FALSE
"GGB6006_SGB8631",TRUE,FALSE
"GGB6007_SGB8634",TRUE,FALSE
"GGB6012_SGB8640",TRUE,FALSE
"GGB6016_SGB8648",TRUE,FALSE
"GGB6020_SGB8653",FALSE,TRUE
"Candidatus_Nanoperiomorbus_periodonticus",TRUE,FALSE
"GGB12785_SGB19823",FALSE,FALSE
"GGB12785_SGB19827",TRUE,FALSE
"Candidatus_Saccharibacteria_unclassified_SGB19846",FALSE,FALSE
"Candidatus_Saccharibacteria_unclassified_SGB19905",FALSE,TRUE
"TM7_phylum_sp_oral_taxon_348",FALSE,FALSE
"TM7_phylum_sp_oral_taxon_351",TRUE,FALSE
"TM7_phylum_sp_oral_taxon_352",FALSE,FALSE
"GGB18703_SGB19793",TRUE,FALSE
"Candidatus_Nanosynbacter_sp_HMT_352",FALSE,FALSE
"Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1",FALSE,FALSE
"Peribacillus_faecalis",FALSE,TRUE
"Gemella_haemolysans",FALSE,TRUE
"Gemella_morbillorum",FALSE,FALSE
"Gemella_sanguinis",FALSE,FALSE
"Gemella_SGB7284",TRUE,FALSE
"Staphylococcus_argenteus",FALSE,TRUE
"Staphylococcus_aureus",FALSE,TRUE
"Staphylococcus_epidermidis",FALSE,FALSE
"Abiotrophia_defectiva",FALSE,TRUE
"Facklamia_hominis",FALSE,TRUE
"Carnobacterium_divergens",TRUE,FALSE
"Granulicatella_adiacens",FALSE,FALSE
"Granulicatella_SGB8255",FALSE,FALSE
"Enterococcus_aquimarinus",FALSE,TRUE
"Enterococcus_asini",FALSE,TRUE
"Enterococcus_avium",FALSE,FALSE
"Enterococcus_durans",TRUE,FALSE
"Enterococcus_faecalis",FALSE,FALSE
"Enterococcus_faecium",FALSE,FALSE
"Enterococcus_gallinarum",TRUE,FALSE
"Enterococcus_hirae",TRUE,FALSE
"Enterococcus_raffinosus",FALSE,TRUE
"Dellaglioa_algida",FALSE,TRUE
"Lacticaseibacillus_paracasei",FALSE,FALSE
"Lacticaseibacillus_rhamnosus",FALSE,FALSE
"Lacticaseibacillus_suibinensis",TRUE,FALSE
"Lacticaseibacillus_zeae",TRUE,FALSE
"Lactiplantibacillus_plantarum",FALSE,FALSE
"Lactobacillus_acidophilus",FALSE,FALSE
"Lactobacillus_apis",TRUE,FALSE
"Lactobacillus_crispatus",FALSE,FALSE
"Lactobacillus_delbrueckii",FALSE,FALSE
"Lactobacillus_gasseri",FALSE,FALSE
"Lactobacillus_helsingborgensis",TRUE,FALSE
"Lactobacillus_helveticus",FALSE,TRUE
"Lactobacillus_johnsonii",FALSE,FALSE
"Lactobacillus_kalixensis",FALSE,TRUE
"Lactobacillus_kimbladii",TRUE,FALSE
"Lactobacillus_kullabergensis",TRUE,FALSE
"Latilactobacillus_curvatus",FALSE,FALSE
"Latilactobacillus_sakei",TRUE,FALSE
"Lentilactobacillus_parabuchneri",TRUE,FALSE
"Leuconostoc_carnosum",FALSE,FALSE
"Leuconostoc_citreum",FALSE,FALSE
"Leuconostoc_gelidum",FALSE,FALSE
"Leuconostoc_holzapfelii",TRUE,FALSE
"Leuconostoc_inhae",TRUE,FALSE
"Leuconostoc_lactis",FALSE,FALSE
"Leuconostoc_mesenteroides",FALSE,FALSE
"Leuconostoc_miyukkimchii",TRUE,FALSE
"Leuconostoc_pseudomesenteroides",FALSE,FALSE
"Ligilactobacillus_animalis",FALSE,FALSE
"Ligilactobacillus_ruminis",FALSE,FALSE
"Ligilactobacillus_salivarius",FALSE,FALSE
"Lactobacillus_timonensis",TRUE,FALSE
"Limosilactobacillus_fermentum",FALSE,FALSE
"Limosilactobacillus_mucosae",FALSE,FALSE
"Limosilactobacillus_oris",FALSE,FALSE
"Limosilactobacillus_pontis",FALSE,FALSE
"Limosilactobacillus_portuensis",FALSE,FALSE
"Limosilactobacillus_reuteri",FALSE,FALSE
"Limosilactobacillus_urinaemulieris",FALSE,TRUE
"Limosilactobacillus_vaginalis",FALSE,FALSE
"Pediococcus_acidilactici",TRUE,FALSE
"Pediococcus_argentinicus",TRUE,FALSE
"Pediococcus_pentosaceus",FALSE,TRUE
"Weissella_cibaria",FALSE,FALSE
"Weissella_confusa",FALSE,FALSE
"Weissella_soli",TRUE,FALSE
"Lactococcus_carnosus",FALSE,FALSE
"Lactococcus_cremoris",FALSE,FALSE
"Lactococcus_lactis",FALSE,FALSE
"Streptococcus_agalactiae",TRUE,FALSE
"Streptococcus_anginosus",FALSE,FALSE
"Streptococcus_australis",FALSE,FALSE
"Streptococcus_constellatus",FALSE,FALSE
"Streptococcus_cristatus",FALSE,FALSE
"Streptococcus_gallolyticus",FALSE,FALSE
"Streptococcus_gordonii",FALSE,FALSE
"Streptococcus_infantarius",FALSE,TRUE
"Streptococcus_infantis",FALSE,FALSE
"Streptococcus_intermedius",FALSE,FALSE
"Streptococcus_lutetiensis",FALSE,FALSE
"Streptococcus_mitis",FALSE,FALSE
"Streptococcus_mutans",FALSE,FALSE
"Streptococcus_oralis",FALSE,FALSE
"Streptococcus_parasanguinis",FALSE,FALSE
"Streptococcus_rubneri",FALSE,FALSE
"Streptococcus_salivarius",FALSE,FALSE
"Streptococcus_sanguinis",FALSE,FALSE
"Streptococcus_sobrinus",FALSE,FALSE
"Streptococcus_sp_F0442",TRUE,FALSE
"Streptococcus_thermophilus",FALSE,FALSE
"Streptococcus_vestibularis",FALSE,FALSE
"GGB71580_SGB98325",FALSE,FALSE
"GGB9256_SGB14202",TRUE,FALSE
"GGB9258_SGB14205",FALSE,FALSE
"GGB2652_SGB3573",FALSE,FALSE
"GGB2653_SGB3574",FALSE,FALSE
"GGB2657_SGB3578",FALSE,FALSE
"GGB4710_SGB6522",FALSE,FALSE
"GGB4632_SGB6411",TRUE,FALSE
"GGB4676_SGB6465",FALSE,FALSE
"GGB4702_SGB6509",FALSE,TRUE
"GGB4703_SGB6510",FALSE,TRUE
"GGB4664_SGB6452",FALSE,FALSE
"GGB4669_SGB6458",TRUE,FALSE
"GGB4555_SGB6286",TRUE,FALSE
"GGB9345_SGB14311",FALSE,FALSE
"GGB74802_SGB47402",TRUE,FALSE
"GGB2848_SGB3813",FALSE,FALSE
"GGB34231_SGB47113",FALSE,FALSE
"GGB34540_SGB54300",FALSE,FALSE
"GGB2945_SGB3917",TRUE,FALSE
"GGB2958_SGB3940",FALSE,FALSE
"GGB2970_SGB3952",FALSE,FALSE
"GGB2982_SGB3964",FALSE,FALSE
"GGB2996_SGB3983",FALSE,FALSE
"GGB2998_SGB3988",FALSE,FALSE
"GGB2998_SGB3989",FALSE,FALSE
"GGB58485_SGB80143",FALSE,FALSE
"GGB2999_SGB3990",FALSE,FALSE
"GGB3000_SGB3991",FALSE,FALSE
"GGB3001_SGB3992",FALSE,FALSE
"GGB3002_SGB3993",FALSE,FALSE
"GGB3003_SGB3994",FALSE,FALSE
"GGB3004_SGB106198",TRUE,FALSE
"GGB3004_SGB3995",FALSE,FALSE
"GGB3005_SGB3996",FALSE,FALSE
"GGB75036_SGB102224",FALSE,FALSE
"GGB3032_SGB4027",FALSE,FALSE
"GGB3033_SGB4028",FALSE,FALSE
"GGB3033_SGB4029",FALSE,FALSE
"GGB3034_SGB4030",FALSE,FALSE
"GGB3051_SGB4051",FALSE,TRUE
"GGB3052_SGB4053",FALSE,FALSE
"GGB74220_SGB4052",FALSE,TRUE
"GGB29535_SGB42321",FALSE,FALSE
"GGB3057_SGB4059",FALSE,FALSE
"GGB3057_SGB71294",FALSE,FALSE
"GGB3058_SGB4060",FALSE,FALSE
"GGB3061_SGB4063",FALSE,FALSE
"GGB3109_SGB4119",FALSE,FALSE
"GGB3109_SGB4121",FALSE,FALSE
"GGB3118_SGB4130",FALSE,FALSE
"GGB3124_SGB4136",FALSE,FALSE
"GGB3138_SGB4151",FALSE,TRUE
"GGB3140_SGB4153",TRUE,FALSE
"GGB3142_SGB4155",FALSE,FALSE
"GGB3160_SGB4173",FALSE,TRUE
"GGB3160_SGB4174",FALSE,TRUE
"GGB3161_SGB4175",TRUE,FALSE
"GGB3175_SGB4191",FALSE,FALSE
"GGB51658_SGB72061",FALSE,TRUE
"GGB3288_SGB4342",FALSE,TRUE
"GGB3304_SGB4365",FALSE,FALSE
"GGB3304_SGB4367",FALSE,FALSE
"GGB3306_SGB4373",TRUE,FALSE
"GGB3321_SGB4394",FALSE,FALSE
"GGB3321_SGB4395",FALSE,FALSE
"GGB3323_SGB4400",FALSE,FALSE
"GGB39037_SGB4393",FALSE,FALSE
"GGB3351_SGB4434",FALSE,FALSE
"GGB3352_SGB4436",FALSE,FALSE
"GGB3352_SGB62935",FALSE,FALSE
"GGB3353_SGB4437",FALSE,FALSE
"GGB3363_SGB4447",FALSE,FALSE
"GGB3363_SGB4448",FALSE,FALSE
"GGB3364_SGB4450",FALSE,TRUE
"GGB3365_SGB4451",FALSE,FALSE
"GGB3491_SGB4665",TRUE,FALSE
"GGB3717_SGB5040",FALSE,FALSE
"GGB3730_SGB5060",FALSE,FALSE
"GGB51269_SGB5061",TRUE,FALSE
"GGB51269_SGB5062",FALSE,TRUE
"GGB3256_SGB4303",FALSE,FALSE
"GGB41458_SGB58520",FALSE,TRUE
"GGB3892_SGB5290",FALSE,FALSE
"GGB4716_SGB6531",TRUE,FALSE
"GGB49418_SGB69331",FALSE,TRUE
"GGB4231_SGB5722",FALSE,FALSE
"GGB4539_SGB6260",TRUE,FALSE
"GGB4543_SGB6264",TRUE,FALSE
"GGB4546_SGB6267",FALSE,TRUE
"GGB4552_SGB6276",FALSE,FALSE
"GGB4558_SGB6289",FALSE,TRUE
