M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	SGB	hits	genomes in the SGB
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10063 	15	164
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	uSGB38355 	1	1
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB4940 	1	1121
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10068 	1	18558
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10285 	1	13
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10073 	1	8462
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10343 	1	3003
M9	uVSG	-	kSGB1861 	1	711
M9	uVSG	-	kSGB1871 	1	997
M9	uVSG	-	kSGB21554 	1	1
M10	uVSG	-	uSGB4882 	3	382
M10	uVSG	-	uSGB5066 	1	367
M10	uVSG	-	uSGB6310 	1	246
M10	uVSG	-	uSGB47326 	1	1
M10	uVSG	-	uSGB15292 	1	40
M11	uVSG	-	kSGB1871 	35	997
M11	uVSG	-	kSGB1861 	2	711
M11	uVSG	-	kSGB1877 	1	742
M11	uVSG	-	kSGB1934 	1	4703
M11	uVSG	-	kSGB1836 	1	6758
M11	uVSG	-	uSGB48572 	1	9
M11	uVSG	-	kSGB1846 	1	185
M11	uVSG	-	kSGB1867 	1	364
M11	uVSG	-	kSGB1870 	1	13
M12	uVSG	-	kSGB4285 	2	4353
M12	uVSG	-	kSGB17244 	1	2922
M13	uVSG	-	kSGB17152 	1	6
M14	uVSG	-	kSGB9666 	2	177
M14	uVSG	-	kSGB5082 	2	3354
M14	uVSG	-	kSGB9673 	1	29
M14	uVSG	-	kSGB6472 	1	148
M14	uVSG	-	kSGB12885 	1	3
M15	uVSG	-	kSGB10068 	3	18558
M17	uVSG	-	kSGB8021 	5	143
M18	uVSG	-	kSGB19351 	74	196
M18	uVSG	-	kSGB19341 	2	18
M18	uVSG	-	uSGB19357 	1	1
M18	uVSG	-	uSGB64307 	1	2
M18	uVSG	-	kSGB19464 	1	33
M18	uVSG	-	kSGB19416 	1	6
M18	uVSG	-	kSGB19334 	1	13
M19	uVSG	-	uSGB6371 	2	69
M19	uVSG	-	uSGB6179 	2	218
M19	uVSG	-	kSGB6148 	1	397
M19	uVSG	-	uSGB6141 	1	55
M19	uVSG	-	uSGB6526 	1	214
M19	uVSG	-	kSGB9226 	1	2567
M19	uVSG	-	uSGB6173 	1	62
M19	uVSG	-	kSGB6754 	1	1293
M19	uVSG	-	uSGB6317 	1	277
M19	uVSG	-	uSGB70984 	1	1
M19	uVSG	-	uSGB6139 	1	61
M19	uVSG	-	kSGB6178 	1	75
M19	uVSG	-	uSGB6602 	1	198
M20	uVSG	-	kSGB4874 	384	4240
M20	uVSG	-	kSGB5121 	12	1147
M20	uVSG	-	kSGB4940 	10	1121
M20	uVSG	-	uSGB6310 	8	246
M20	uVSG	-	kSGB4925 	6	3280
M20	uVSG	-	kSGB4837 	5	2481
M20	uVSG	-	kSGB4532 	5	807
M20	uVSG	-	kSGB4871 	2	810
M20	uVSG	-	kSGB4648 	2	251
M20	uVSG	-	uSGB4425 	2	714
M20	uVSG	-	uSGB47389 	2	49
M20	uVSG	-	kSGB4652 	2	665
M20	uVSG	-	kSGB4820 	2	663
M20	uVSG	-	uSGB5077 	2	505
M20	uVSG	-	kSGB4659 	2	375
M20	uVSG	-	kSGB4951 	1	1217
M20	uVSG	-	uSGB71714 	1	8
M20	uVSG	-	uSGB74336 	1	2
M20	uVSG	-	kSGB4540 	1	3642
M20	uVSG	-	kSGB4644 	1	1480
M20	uVSG	-	kSGB4563 	1	777
M20	uVSG	-	kSGB4959 	1	92
M20	uVSG	-	kSGB5087 	1	755
M20	uVSG	-	kSGB4828 	1	347
M20	uVSG	-	uSGB14306 	1	1383
M20	uVSG	-	uSGB6584 	1	323
M20	uVSG	-	uSGB15244 	1	603
M20	uVSG	-	uSGB15368 	1	3034
M20	uVSG	-	kSGB4938 	1	1130
M20	uVSG	-	kSGB5075 	1	2032
M20	uVSG	-	kSGB4988 	1	119
M21	uVSG	-	kSGB14993 	212	947
M21	uVSG	-	kSGB53502 	27	53
M21	uVSG	-	kSGB15132 	21	696
M21	uVSG	-	uSGB53503 	14	24
M21	uVSG	-	kSGB4940 	10	1121
M21	uVSG	-	kSGB15154 	10	163
M21	uVSG	-	kSGB15254 	6	2741
M21	uVSG	-	kSGB14991 	6	423
M21	uVSG	-	uSGB15265 	5	1241
M21	uVSG	-	kSGB4874 	3	4240
M21	uVSG	-	uSGB14992 	3	47
M21	uVSG	-	uSGB14990 	3	38
M21	uVSG	-	uSGB15089 	3	887
M21	uVSG	-	uSGB15053 	3	1060
M21	uVSG	-	kSGB15266 	2	152
M21	uVSG	-	kSGB15300 	2	3023
M21	uVSG	-	uSGB15368 	2	3034
M21	uVSG	-	kSGB4993 	2	1338
M21	uVSG	-	uSGB4348 	2	2283
M21	uVSG	-	uSGB15256 	2	225
M21	uVSG	-	uSGB15097 	2	126
M21	uVSG	-	kSGB15271 	1	957
M21	uVSG	-	uSGB72707 	1	1
M21	uVSG	-	kSGB4285 	1	4353
M21	uVSG	-	uSGB59046 	1	2
M21	uVSG	-	uSGB5099 	1	81
M21	uVSG	-	kSGB15323 	1	342
M21	uVSG	-	uSGB15216 	1	654
M21	uVSG	-	uSGB15234 	1	779
M21	uVSG	-	uSGB15172 	1	72
M21	uVSG	-	uSGB15087 	1	206
M21	uVSG	-	uSGB15213 	1	49
M21	uVSG	-	uSGB15260 	1	538
M21	uVSG	-	kSGB4837 	1	2481
M21	uVSG	-	uSGB1697 	1	50
M21	uVSG	-	kSGB4422 	1	656
M21	uVSG	-	kSGB17013 	1	13
M21	uVSG	-	kSGB15276 	1	1
M21	uVSG	-	kSGB8002 	1	682
M22	uVSG	-	kSGB7061 	172	436
M22	uVSG	-	kSGB7093 	2	23
M22	uVSG	-	kSGB8022 	1	147
M22	uVSG	-	kSGB4563 	1	777
M22	uVSG	-	kSGB5825 	1	1495
M22	uVSG	-	kSGB1815 	1	1442
M22	uVSG	-	kSGB4922 	1	44
M22	uVSG	-	kSGB1965 	1	3045
M22	uVSG	-	uSGB5730 	1	5
M22	uVSG	-	uSGB74312 	1	2
M22	uVSG	-	kSGB6754 	1	1293
M22	uVSG	-	kSGB7081 	1	28
M22	uVSG	-	kSGB79379 	1	1
M22	uVSG	-	kSGB7062 	1	2
M23	uVSG	-	kSGB1626 	11	2218
M23	uVSG	-	kSGB1613 	3	581
M23	uVSG	-	kSGB48357 	1	68
M23	uVSG	-	kSGB1644 	1	287
M24	uVSG	-	kSGB17244 	248	2922
M24	uVSG	-	kSGB17248 	209	3404
M24	uVSG	-	kSGB17237 	188	1187
M24	uVSG	-	kSGB17247 	67	593
M24	uVSG	-	kSGB17256 	60	1267
M24	uVSG	-	kSGB17241 	46	357
M24	uVSG	-	kSGB17249 	10	198
M24	uVSG	-	kSGB17234 	8	185
M24	uVSG	-	kSGB17239 	5	49
M24	uVSG	-	kSGB17231 	4	87
M24	uVSG	-	kSGB53838 	2	16
M24	uVSG	-	kSGB1829 	1	533
M24	uVSG	-	uSGB14322 	1	361
M24	uVSG	-	kSGB9283 	1	1371
M24	uVSG	-	kSGB9262 	1	732
M24	uVSG	-	uSGB14500 	1	11
M24	uVSG	-	kSGB17272 	1	4
M24	uVSG	-	uSGB60361 	1	5
M24	uVSG	-	uSGB60369 	1	4
M24	uVSG	-	kSGB2085 	1	36
M24	uVSG	-	uSGB53839 	1	6
M24	uVSG	-	uSGB48447 	1	1
M24	uVSG	-	uSGB53702 	1	1
M24	uVSG	-	kSGB4644 	1	1480
M24	uVSG	-	kSGB17243 	1	13
M24	uVSG	-	uSGB60367 	1	2
M25	uVSG	-	kSGB4037 	128	311
M25	uVSG	-	uSGB51734 	10	20
M25	uVSG	-	kSGB4644 	3	1480
M25	uVSG	-	kSGB6744 	1	477
M25	uVSG	-	kSGB7082 	1	211
M25	uVSG	-	kSGB4537 	1	153
M25	uVSG	-	kSGB4285 	1	4353
M25	uVSG	-	kSGB5062 	1	401
M26	uVSG	-	kSGB4742 	22	134
M26	uVSG	-	kSGB4741 	15	83
M26	uVSG	-	kSGB4422 	9	656
M26	uVSG	-	kSGB15316 	3	3016
M26	uVSG	-	kSGB4826 	2	1146
M26	uVSG	-	kSGB5852 	1	28
M26	uVSG	-	kSGB4280 	1	556
M26	uVSG	-	kSGB4871 	1	810
M26	uVSG	-	kSGB9205 	1	117
M26	uVSG	-	kSGB8214 	1	264
M27	uVSG	-	kSGB15132 	178	696
M27	uVSG	-	kSGB15271 	89	957
M27	uVSG	-	kSGB15078 	64	598
M27	uVSG	-	kSGB15154 	14	163
M27	uVSG	-	kSGB15126 	12	41
M27	uVSG	-	uSGB15121 	8	177
M27	uVSG	-	kSGB15254 	5	2741
M27	uVSG	-	kSGB14894 	5	28
M27	uVSG	-	uSGB15234 	4	779
M27	uVSG	-	kSGB14861 	4	1447
M27	uVSG	-	kSGB15273 	2	39
M27	uVSG	-	kSGB15158 	2	22
M27	uVSG	-	uSGB15106 	2	1782
M27	uVSG	-	uSGB82333 	2	3
M27	uVSG	-	uSGB15087 	2	206
M27	uVSG	-	kSGB4933 	2	8042
M27	uVSG	-	uSGB15211 	2	13
M27	uVSG	-	uSGB15093 	2	442
M27	uVSG	-	kSGB15316 	2	3016
M27	uVSG	-	kSGB9955 	2	69
M27	uVSG	-	kSGB29328 	2	3
M27	uVSG	-	kSGB15149 	1	51
M27	uVSG	-	uSGB14923 	1	21
M27	uVSG	-	uSGB15019 	1	122
M27	uVSG	-	kSGB14881 	1	17
M27	uVSG	-	uSGB15210 	1	7
M27	uVSG	-	uSGB14297 	1	41
M27	uVSG	-	uSGB15204 	1	31
M27	uVSG	-	kSGB15249 	1	1088
M27	uVSG	-	uSGB15022 	1	54
M27	uVSG	-	uSGB15404 	1	1
M27	uVSG	-	uSGB15167 	1	1
M27	uVSG	-	uSGB14846 	1	2
M27	uVSG	-	kSGB4272 	1	437
M27	uVSG	-	uSGB15260 	1	538
M27	uVSG	-	uSGB15049 	1	55
M27	uVSG	-	uSGB15265 	1	1241
M27	uVSG	-	uSGB15090 	1	688
M27	uVSG	-	uSGB63188 	1	2
M27	uVSG	-	kSGB15131 	1	30
M27	uVSG	-	uSGB15368 	1	3034
M27	uVSG	-	kSGB15403 	1	37
M27	uVSG	-	kSGB3957 	1	288
M27	uVSG	-	kSGB6806 	1	532
M27	uVSG	-	kSGB5960 	1	5
M27	uVSG	-	kSGB15282 	1	1
M27	uVSG	-	kSGB15134 	1	12
M27	uVSG	-	kSGB16500 	1	1
M27	uVSG	-	kSGB59562 	1	1
M28	uVSG	-	kSGB14824 	11	143
M28	uVSG	-	uSGB72444 	5	17
M28	uVSG	-	uSGB14823 	2	19
M28	uVSG	-	uSGB27143 	2	68
M28	uVSG	-	uSGB14815 	1	23
M28	uVSG	-	uSGB72411 	1	82
M28	uVSG	-	kSGB14773 	1	299
M29	uVSG	-	kSGB3957 	1	288
M29	uVSG	-	kSGB6806 	1	532
M29	uVSG	-	kSGB15864 	1	1
M29	uVSG	-	kSGB84833 	1	1
M30	uVSG	-	kSGB2286 	18	835
M30	uVSG	-	kSGB2295 	7	1611
M30	uVSG	-	uSGB15090 	5	688
M30	uVSG	-	kSGB10270 	5	61
M30	uVSG	-	kSGB1844 	4	522
M30	uVSG	-	kSGB15452 	3	1097
M30	uVSG	-	kSGB1965 	3	3045
M30	uVSG	-	kSGB10213 	3	422
M30	uVSG	-	kSGB10239 	2	4
M30	uVSG	-	uSGB81375 	1	1
M30	uVSG	-	kSGB1560 	1	60
M30	uVSG	-	uSGB14875 	1	11
M30	uVSG	-	kSGB1790 	1	1981
M30	uVSG	-	kSGB1910 	1	74
M30	uVSG	-	kSGB15132 	1	696
M30	uVSG	-	kSGB14937 	1	59
M30	uVSG	-	uSGB15450 	1	9
M30	uVSG	-	kSGB1814 	1	4109
M30	uVSG	-	kSGB17244 	1	2922
M30	uVSG	-	uSGB15198 	1	330
M30	uVSG	-	kSGB10355 	1	7
M30	uVSG	-	kSGB33012 	1	1
M30	uVSG	-	kSGB17232 	1	4
M30	uVSG	-	kSGB10269 	1	39
M30	uVSG	-	kSGB13618 	1	5
M30	uVSG	-	kSGB10490 	1	2
M30	uVSG	-	kSGB33064 	1	10
M30	uVSG	-	kSGB30559 	1	1
M30	uVSG	-	kSGB4633 	1	6
M30	uVSG	-	kSGB90269 	1	1
M30	uVSG	-	kSGB89151 	1	1
M30	uVSG	-	kSGB12082 	1	6
M31	uVSG	-	kSGB14488 	11	380
M31	uVSG	-	uSGB14439 	5	93
M31	uVSG	-	kSGB14546 	4	1768
M31	uVSG	-	kSGB14454 	3	123
M31	uVSG	-	uSGB14427 	3	12
M31	uVSG	-	uSGB54013 	1	2
M31	uVSG	-	uSGB14484 	1	23
M31	uVSG	-	uSGB72554 	1	1
M31	uVSG	-	kSGB14501 	1	42
M31	uVSG	-	uSGB72533 	1	5
M31	uVSG	-	uSGB14500 	1	11
M31	uVSG	-	kSGB54183 	1	9
M32	uVSG	-	kSGB9272 	22	323
M32	uVSG	-	kSGB9271 	16	73
M32	uVSG	-	uSGB3668 	1	147
M32	uVSG	-	kSGB12676 	1	70
M33	uVSG	-	kSGB4758 	20	377
M33	uVSG	-	kSGB4724 	13	18
M33	uVSG	-	kSGB4725 	12	19
M33	uVSG	-	kSGB4746 	1	68
M33	uVSG	-	kSGB4760 	1	142
M35	kVSG	NC_0098171_Lactococcus_phage_KSY1	kSGB2555 	1	1
M36	uVSG	-	kSGB4761 	6	14
M36	uVSG	-	kSGB4285 	5	4353
M36	uVSG	-	kSGB4762 	5	69
M36	uVSG	-	kSGB4760 	3	142
M36	uVSG	-	kSGB4933 	3	8042
M36	uVSG	-	uSGB4930 	2	97
M36	uVSG	-	uSGB5089 	2	1052
M36	uVSG	-	kSGB6796 	2	1257
M36	uVSG	-	kSGB4614 	2	10
M36	uVSG	-	kSGB4198 	1	1926
M36	uVSG	-	kSGB4699 	1	145
M36	uVSG	-	kSGB5062 	1	401
M36	uVSG	-	kSGB15894 	1	2
M36	uVSG	-	kSGB17297 	1	4
M37	uVSG	-	kSGB4993 	1	1338
M37	uVSG	-	kSGB28685 	1	1
M38	uVSG	-	uSGB15368 	468	3034
M38	uVSG	-	kSGB1836 	1	6758
M38	uVSG	-	kSGB5803 	1	333
M39	uVSG	-	kSGB10068 	3	18558
M40	kVSG	NC_0419961_Serratia_phage_CHI14	kSGB1467 	1	3
M40	kVSG	NC_0419961_Serratia_phage_CHI14	kSGB5083 	1	217
M41	uVSG	-	kSGB6939 	73	767
M41	uVSG	-	kSGB6936 	8	194
M41	uVSG	-	kSGB6952 	6	219
M41	uVSG	-	kSGB6956 	3	74
M41	uVSG	-	kSGB4906 	1	21
M41	uVSG	-	kSGB6847 	1	168
M41	uVSG	-	kSGB14110 	1	81
M41	uVSG	-	uSGB1788 	1	3
M41	uVSG	-	kSGB9461 	1	2171
M41	uVSG	-	kSGB2925 	1	10
M43	kVSG	NC_0019541_Enterobacteria_phage_If1	kSGB4699 	1	145
M43	kVSG	NC_0019541_Enterobacteria_phage_If1	kSGB81670 	1	1
M44	uVSG	-	kSGB4837 	16	2481
M44	uVSG	-	kSGB4780 	6	55
M44	uVSG	-	kSGB4993 	5	1338
M44	uVSG	-	kSGB4557 	5	696
M44	uVSG	-	kSGB4670 	3	453
M44	uVSG	-	uSGB4658 	1	107
M44	uVSG	-	kSGB4575 	1	166
M44	uVSG	-	kSGB4581 	1	877
M44	uVSG	-	kSGB4532 	1	807
M44	uVSG	-	kSGB4760 	1	142
M44	uVSG	-	kSGB30434 	1	2
M46	uVSG	-	kSGB15132 	6	696
M46	uVSG	-	kSGB15154 	2	163
M46	uVSG	-	kSGB53493 	2	2
M46	uVSG	-	kSGB15078 	1	598
M46	uVSG	-	uSGB15203 	1	108
M46	uVSG	-	uSGB15204 	1	31
M46	uVSG	-	kSGB15323 	1	342
M46	uVSG	-	uSGB15121 	1	177
M46	uVSG	-	uSGB15404 	1	1
M46	uVSG	-	uSGB15211 	1	13
M46	uVSG	-	kSGB15254 	1	2741
M46	uVSG	-	kSGB15318 	1	1602
M47	uVSG	-	kSGB19296 	1	3
M47	uVSG	-	kSGB15271 	1	957
M47	uVSG	-	uSGB19294 	1	1
M47	uVSG	-	uSGB19297 	1	1
M47	uVSG	-	uSGB69426 	1	1
M48	uVSG	-	kSGB3922 	9	69
M48	uVSG	-	uSGB4472 	1	5
M48	uVSG	-	kSGB5765 	1	1104
M49	uVSG	-	kSGB14937 	2	59
M49	uVSG	-	uSGB15256 	1	225
M49	uVSG	-	uSGB14940 	1	2
M50	uVSG	-	kSGB10115 	461	7034
M50	uVSG	-	kSGB10118 	9	152
M50	uVSG	-	kSGB10119 	7	280
M50	uVSG	-	kSGB10073 	5	8462
M50	uVSG	-	kSGB10114 	3	274
M50	uVSG	-	kSGB10120 	1	197
M50	uVSG	-	kSGB10113 	1	60
M50	uVSG	-	kSGB10130 	1	1219
M50	uVSG	-	kSGB10125 	1	7
M50	uVSG	-	kSGB10122 	1	18
M50	uVSG	-	kSGB81736 	1	4
M51	uVSG	-	kSGB17248 	528	3404
M51	uVSG	-	kSGB17244 	210	2922
M51	uVSG	-	kSGB17237 	193	1187
M51	uVSG	-	kSGB17256 	166	1267
M51	uVSG	-	kSGB17247 	102	593
M51	uVSG	-	kSGB15316 	53	3016
M51	uVSG	-	kSGB17241 	44	357
M51	uVSG	-	kSGB17249 	36	198
M51	uVSG	-	kSGB17234 	13	185
M51	uVSG	-	kSGB17239 	7	49
M51	uVSG	-	uSGB15090 	4	688
M51	uVSG	-	kSGB17264 	3	21
M51	uVSG	-	kSGB17273 	3	13
M51	uVSG	-	kSGB17279 	3	76
M51	uVSG	-	kSGB1829 	2	533
M51	uVSG	-	kSGB17231 	2	87
M51	uVSG	-	kSGB17272 	2	4
M51	uVSG	-	kSGB17285 	2	2
M51	uVSG	-	uSGB60369 	1	4
M51	uVSG	-	uSGB14322 	1	361
M51	uVSG	-	kSGB9262 	1	732
M51	uVSG	-	uSGB14500 	1	11
M51	uVSG	-	kSGB15342 	1	1659
M51	uVSG	-	uSGB14924 	1	122
M51	uVSG	-	uSGB60361 	1	5
M51	uVSG	-	kSGB14861 	1	1447
M51	uVSG	-	kSGB2085 	1	36
M51	uVSG	-	kSGB15339 	1	100
M51	uVSG	-	kSGB2295 	1	1611
M51	uVSG	-	uSGB53839 	1	6
M51	uVSG	-	uSGB48447 	1	1
M51	uVSG	-	uSGB53702 	1	1
M51	uVSG	-	kSGB9283 	1	1371
M51	uVSG	-	kSGB53838 	1	16
M51	uVSG	-	uSGB15213 	1	49
M51	uVSG	-	kSGB15286 	1	4694
M51	uVSG	-	kSGB17289 	1	1
M51	uVSG	-	kSGB17243 	1	13
M51	uVSG	-	uSGB60367 	1	2
M51	uVSG	-	kSGB17290 	1	6
M51	uVSG	-	kSGB63344 	1	1
M52	uVSG	-	kSGB1626 	1	2218
M52	uVSG	-	uSGB6540 	1	62
M52	uVSG	-	kSGB15249 	1	1088
M52	uVSG	-	kSGB17319 	1	31
M52	uVSG	-	kSGB29001 	1	1
M57	kVSG	NC_0247861_Escherichia_phage_vB_EcoP_PhAPEC5|NC_0194231_Enterobacter_phage_IME11|NC_0419061_Escherichia_phage_EC1UPM|NC_0159331_Escherichia_phage_vB_EcoP_G7C|NC_0241422_Enterobacteria_phage_Bp4|NC_0188541_Escherichia_phage_ECBP1|NC_0247901_Escherichia_phage_vB_EcoP_PhAPEC7|NC_0235891_Shigella_phage_pSb1	kSGB6744 	3	477
M57	kVSG	NC_0247861_Escherichia_phage_vB_EcoP_PhAPEC5|NC_0194231_Enterobacter_phage_IME11|NC_0419061_Escherichia_phage_EC1UPM|NC_0159331_Escherichia_phage_vB_EcoP_G7C|NC_0241422_Enterobacteria_phage_Bp4|NC_0188541_Escherichia_phage_ECBP1|NC_0247901_Escherichia_phage_vB_EcoP_PhAPEC7|NC_0235891_Shigella_phage_pSb1	kSGB9280 	1	224
M57	kVSG	NC_0247861_Escherichia_phage_vB_EcoP_PhAPEC5|NC_0194231_Enterobacter_phage_IME11|NC_0419061_Escherichia_phage_EC1UPM|NC_0159331_Escherichia_phage_vB_EcoP_G7C|NC_0241422_Enterobacteria_phage_Bp4|NC_0188541_Escherichia_phage_ECBP1|NC_0247901_Escherichia_phage_vB_EcoP_PhAPEC7|NC_0235891_Shigella_phage_pSb1	uSGB15368 	1	3034
M57	kVSG	NC_0247861_Escherichia_phage_vB_EcoP_PhAPEC5|NC_0194231_Enterobacter_phage_IME11|NC_0419061_Escherichia_phage_EC1UPM|NC_0159331_Escherichia_phage_vB_EcoP_G7C|NC_0241422_Enterobacteria_phage_Bp4|NC_0188541_Escherichia_phage_ECBP1|NC_0247901_Escherichia_phage_vB_EcoP_PhAPEC7|NC_0235891_Shigella_phage_pSb1	kSGB10285 	1	13
