"M.Group.Cluster","genomeName","len","breadth_of_coverage","depth_of_coverage_mean","depth_of_coverage_median","M.Group.Type..k.u.","First.Genome.in.Cluster","Other.Genomes","sample"
"M282","VDB|0047-0014-0-0000|M282-c3840-c1-c37",3598,0.995275152862702,9.74951130969003,6,"uVSG","-","-","FF08034089"
"M1143","VDB|0020-0018-0-0000|M1143-c3930-c0-c0",8366,0.986732010518766,7.70648092065415,7,"uVSG","-","-","FF08034089"
"M484","VDB|0021-00AF-0-0009|M484-c2184-c1-c4",3533,0.977356354373054,22.9565595134666,24,"uVSG","-","-","FF08034089"
"M779","VDB|0021-00A0-0-0031|M779-c3013-c0-c4",1685,0.962611275964392,7.84771886559803,8,"uVSG","-","-","FF08034089"
"M223","VDB|004F-00F7-0-0004|M223-c896-c0-c24",3437,0.948210648821647,46.6207425590672,47,"uVSG","-","-","FF08034089"
"M212","VDB|0015-0035-0-0007|M212-c1504-c0-c21",3533,0.942541749221625,3.93153153153153,4,"uVSG","-","-","FF08034089"
"M738","VDB|0030-008D-0-0002|M738-c70-c0-c96",65160,0.937308164518109,37.6314695047073,37,"uVSG","-","-","FF08034089"
"M1117","VDB|0020-001A-0-0006|M1117-c3877-c1-c0",7264,0.905699339207048,5.12159902720778,4,"uVSG","-","-","FF08034089"
"M1128","VDB|001F-0031-0-0001|M1128-c3904-c0-c1",1774,0.901916572717024,4.34,3,"uVSG","-","-","FF08034089"
"M753","VDB|0010-0001-0-0003|M753-c3180-c0-c1",15483,0.886779047988116,4.12774945375091,4,"uVSG","-","-","FF08034089"
"M1130","VDB|0037-00DE-0-0001|M1130-c3907-c0-c2",7365,0.880515953835709,4.48018504240555,4,"uVSG","-","-","FF08034089"
"M1283","VDB|0030-009E-0-000D|M1283-c975-c0-c109",4036,0.874628344895937,4.08470254957507,4,"uVSG","-","-","FF08034089"
"M962","VDB|002F-00C8-0-0002|M962-c3487-c0-c0",21427,0.872403976291595,35.7047022949767,36,"uVSG","-","-","FF08034089"
"M829","VDB|0052-0060-0-0001|M829-c3144-c0-c1",2044,0.851761252446184,3.46467547386559,3,"uVSG","-","-","FF08034089"
"M538","VDB|0021-00B1-0-000F|M538-c2377-c0-c3",3145,0.849920508744038,45.4261129816685,51,"uVSG","-","-","FF08034089"
"M1102","VDB|0028-001B-0-0002|M1102-c72-c0-c134",1760,0.848295454545455,19.775619557937,21,"kVSG","NC_024711_Uncultured_crAssphage","NC_0247111_Uncultured_crAssphage","FF08034089"
"M902","VDB|004C-0052-0-0002|M902-c3340-c0-c2",13405,0.796866840731071,45.1539037633402,47,"uVSG","-","-","FF08034089"
"M727","VDB|0010-01C6-0-0001|M727-c2871-c0-c16",14715,0.780632008154944,3.30495342561156,3,"uVSG","-","-","FF08034089"
"M697","VDB|0015-000A-0-0000|M697-c3861-c6-c15",4399,1,247.232098204137,264,"uVSG","-","-","FF08034097"
"M343","VDB|000D-004F-0-0002|M343-c2403-c0-c12",6184,1,28.346701164295,29,"uVSG","-","-","FF08034097"
"M822","VDB|0048-0005-0-0003|M822-c965-c0-c34",1857,1,37.9725363489499,38,"uVSG","-","-","FF08034097"
"M783","VDB|0021-0062-0-0003|M783-c3841-c0-c3",2045,1,30.8493887530562,32,"uVSG","-","-","FF08034097"
"M1064","VDB|0002-002F-0-0000|M1064-c1042-c2-c105",24967,0.999719629911483,27.5661858974359,23,"uVSG","-","-","FF08034097"
"M527","VDB|0048-0051-0-0000|M527-c2323-c0-c0",21538,0.998142817346086,10.7347660247465,10,"uVSG","-","-","FF08034097"
"M349","VDB|004C-006F-0-0001|M349-c1834-c1-c9",4359,0.992658866712549,13.4538941529928,13,"kVSG","NC_029012_Parabacteroides_phage_YZ2015a","NC_0290121_Parabacteroides_phage_YZ2015a","FF08034097"
"M850","VDB|0048-005E-0-0002|M850-c1541-c0-c1",45001,0.981311526410524,17.1878623188406,17,"uVSG","-","-","FF08034097"
"M1131","VDB|004D-000E-0-0001|M1131-c3637-c0-c0",21670,0.979187817258883,60.597059239361,62,"uVSG","-","-","FF08034097"
"M801","VDB|0031-0015-0-0003|M801-c143-c0-c9",87286,0.941937996929634,69.9663212435233,72,"uVSG","-","-","FF08034097"
"M706","VDB|002C-0005-0-001A|M706-c2807-c0-c0",33806,0.927912204934035,6.08317128375147,5,"uVSG","-","-","FF08034097"
"M727","VDB|004C-0085-0-0003|M727-c2871-c0-c38",6383,0.906313645621181,3.81313742437338,3,"uVSG","-","-","FF08034097"
"M510","VDB|0039-0015-0-0000|M510-c2274-c0-c11",2831,0.898269162839986,13.6618167518679,13,"uVSG","-","-","FF08034097"
"M892","VDB|001E-002B-0-0006|M892-c879-c2-c1",8160,0.893872549019608,18.8386344941047,6,"uVSG","-","-","FF08034097"
"M302","VDB|003A-000D-0-0002|M302-c2488-c0-c0",35500,0.871943661971831,6.18136589778381,6,"uVSG","-","-","FF08034097"
"M1050","VDB|0008-002A-0-0008|M1050-c3704-c0-c1",6283,0.859939519337896,3.39367018323154,3,"uVSG","-","-","FF08034097"
"M459","VDB|004C-009D-0-0006|M459-c3388-c0-c1",10269,0.857532379004772,12.6922552804906,3,"uVSG","-","-","FF08034097"
"M1089","VDB|0040-0149-0-0000|M1089-c3806-c0-c1",17381,0.848627811978597,104.943593220339,60,"uVSG","-","-","FF08034097"
"M282","VDB|0051-0083-0-000C|M282-c3522-c0-c6",7246,0.825006900358819,24.1097356975577,15,"uVSG","-","-","FF08034097"
"M936","VDB|001D-006D-0-0000|M936-c3738-c0-c8",2140,0.801869158878505,3.70687645687646,3,"uVSG","-","-","FF08034097"
"M219","VDB|0003-00CE-0-0000|M219-c3440-c0-c3",5884,0.795037389530931,43.7610089781958,49,"uVSG","-","-","FF08034097"
"M441","VDB|0048-0014-0-0001|M441-c2353-c0-c2",8442,0.765339966832504,5.48351648351648,5,"uVSG","-","-","FF08034097"
"M104","VDB|0006-0045-0-0000|M104-c1264-c1-c7",2742,0.75346462436178,9.85237173281704,10,"uVSG","-","-","FF08034097"
"M1098","VDB|0037-0010-0-0003|M1098-c2579-c0-c5",2849,1,24.1779571779572,24,"uVSG","-","-","FF08034109"
"M621","VDB|0021-0029-0-0001|M621-c2580-c0-c6",2771,1,7.34500180440274,7,"uVSG","-","-","FF08034109"
"M697","VDB|0010-00F3-0-0001|M697-c3861-c6-c0",10022,0.996308122131311,6.82363545317977,6,"uVSG","-","-","FF08034109"
"M779","VDB|0012-004B-0-0001|M779-c3013-c0-c1",29924,0.993917925411041,10.3315849640239,10,"uVSG","-","-","FF08034109"
"M1010","VDB|0028-0051-0-0000|M1010-c3618-c0-c0",1684,0.992874109263658,10.677033492823,10,"uVSG","-","-","FF08034109"
"M658","VDB|0028-0021-0-0000|M658-c2694-c0-c1",13338,0.975483580746739,11.382676197064,11,"uVSG","-","-","FF08034109"
"M1143","VDB|0020-0018-0-0000|M1143-c3930-c0-c0",8366,0.963303848912264,10.352649212061,10,"uVSG","-","-","FF08034109"
"M647","VDB|002C-0003-0-001D|M647-c2667-c1-c0",2631,0.95286963131889,4.56282409254089,5,"uVSG","-","-","FF08034109"
"M579","VDB|003C-0074-0-0000|M579-c2470-c0-c0",6751,0.940008887572212,3.39016703435235,3,"uVSG","-","-","FF08034109"
"M1306","VDB|0030-0028-0-000B|M1306-c875-c1-c1",13064,0.918248622167789,7.75891963987996,8,"uVSG","-","-","FF08034109"
"M1117","VDB|0020-001A-0-0006|M1117-c3877-c1-c0",7264,0.909553964757709,11.5884667776601,9,"uVSG","-","-","FF08034109"
"M1056","VDB|0028-0052-0-0009|M1056-c3720-c2-c0",1625,0.907076923076923,4.49728629579376,4,"uVSG","-","-","FF08034109"
"M953","VDB|0021-003B-0-0011|M953-c3466-c1-c3",1792,0.895089285714286,5.56670822942643,5,"uVSG","-","-","FF08034109"
"M438","VDB|0021-0072-0-0003|M438-c2046-c0-c1",3882,0.894126738794436,4.32180927686546,4,"uVSG","-","-","FF08034109"
"M1075","VDB|0021-00B6-0-003E|M1075-c3777-c1-c0",1592,0.861809045226131,3.66909620991254,4,"uVSG","-","-","FF08034109"
"M386","VDB|0030-0067-0-0000|M386-c1265-c1-c2",12130,0.77881286067601,2.3820260400127,2,"uVSG","-","-","FF08034109"
"M460","VDB|0046-0120-0-0001|M460-c1950-c0-c1",13990,0.774410293066476,162.88249953849,133,"uVSG","-","-","FF08034109"
"M441","VDB|004A-0039-0-0000|M441-c2494-c2-c2",4890,0.769120654396728,7.41345386865195,6,"uVSG","-","-","FF08034109"
"M521","VDB|0021-0069-0-0004|M521-c3225-c1-c0",8321,0.762408364379281,4.27049180327869,4,"uVSG","-","-","FF08034109"
"M697","VDB|0015-000A-0-0000|M697-c3861-c6-c15",4399,1,2014.0195498977,2109,"uVSG","-","-","FF08034119"
"M441","VDB|0021-00B6-0-0076|M441-c2494-c2-c2",2912,1,1966.21325549451,2077,"uVSG","-","-","FF08034119"
"M311","VDB|001D-007B-0-0007|M311-c1716-c0-c15",4185,0.989964157706093,10.4267439053826,10,"kVSG","NC_029014_Parabacteroides_phage_YZ2015b","NC_0290141_Parabacteroides_phage_YZ2015b","FF08034119"
"M759","VDB|0050-005D-0-0000|M759-c2960-c2-c6",1993,0.977922729553437,8.94048229861467,9,"uVSG","-","-","FF08034119"
"M923","VDB|0021-00A0-0-002F|M923-c3558-c0-c1",1726,0.948435689455388,8.23091020158827,8,"uVSG","-","-","FF08034119"
"M738","VDB|0028-001B-0-000E|M738-c70-c0-c73",2975,0.917647058823529,71.9838827838828,81,"uVSG","-","-","FF08034119"
"M1138","VDB|000D-0023-0-0002|M1138-c3917-c0-c0",16396,0.913820444010734,3.76433291063205,3,"uVSG","-","-","FF08034119"
"M962","VDB|002F-00C8-0-0002|M962-c3487-c0-c0",21427,0.903159565034769,12.9797953699876,13,"uVSG","-","-","FF08034119"
"M107","VDB|0048-0007-0-0001|M107-c1271-c0-c12",3478,0.89419206440483,2.25755627009646,2,"uVSG","-","-","FF08034119"
"M788","VDB|0048-004B-0-0000|M788-c3039-c2-c2",3632,0.873898678414097,29.7224322621298,33,"uVSG","-","-","FF08034119"
"M1102","VDB|001D-009E-0-0004|M1102-c79-c0-c87",18050,0.861994459833795,102.944148081496,102,"kVSG","NC_024711_Uncultured_crAssphage","NC_0247111_Uncultured_crAssphage","FF08034119"
"M867","VDB|0040-00D9-0-0001|M867-c2385-c1-c60",3056,0.860602094240838,13.8231939163498,13,"uVSG","-","-","FF08034119"
"M832","VDB|004C-0062-0-0001|M832-c3151-c0-c0",25602,0.842004530896024,3.26107528876931,3,"uVSG","-","-","FF08034119"
"M775","VDB|002D-0008-0-0002|M775-c3006-c0-c4",2241,0.834895136099955,3.00801710315339,3,"uVSG","-","-","FF08034119"
"M954","VDB|000C-0062-0-0001|M954-c3506-c0-c5",2974,0.826160053799596,4.17541717541718,4,"uVSG","-","-","FF08034119"
"M1240","VDB|004C-008F-0-0009|M1240-c720-c0-c9",8907,0.82485685415965,3.05621342044372,3,"kVSG","NC_031071_Lactococcus_phage_D4410","NC_0310711_Lactococcus_phage_D4410|NC_0016291_Lactococcus_phage_bIL67|NC_0310441_Lactococcus_phage_M6165|NC_0310751_Lactococcus_phage_M5938|NC_0017061_Lactococcus_phage_c2|NC_0310021_Lactococcus_phage_M6162|NC_0310091_Lactococcus_phage_D4412","FF08034119"
"M131","VDB|0043-0004-0-0005|M131-c1282-c0-c18",5559,0.77531930203274,2.60788863109049,2,"uVSG","-","-","FF08034119"
"M1064","VDB|0015-0035-0-0005|M1064-c1042-c2-c117",1964,1,12.5840122199593,13,"uVSG","-","-","FF08034128"
"M892","VDB|000E-000C-0-0002|M892-c3062-c0-c0",19587,0.993362944810333,24.6695790717994,23,"uVSG","-","-","FF08034128"
"M282","VDB|0045-002A-0-0003|M282-c3522-c0-c7",7176,0.987458193979933,83.5986452159187,66,"uVSG","-","-","FF08034128"
"M806","VDB|0021-00B6-0-001A|M806-c3084-c0-c1",2112,0.984375,6.01346801346801,6,"uVSG","-","-","FF08034128"
"M996","VDB|0001-00FB-0-0000|M996-c3359-c0-c0",21574,0.972003337350514,4.56938483547926,4,"uVSG","-","-","FF08034128"
"M727","VDB|0010-01C6-0-0001|M727-c2871-c0-c16",14715,0.965749235474006,8.97811554429667,9,"uVSG","-","-","FF08034128"
"M646","VDB|0008-00C1-0-0003|M646-c1301-c1-c1",19091,0.950971662039705,15.2293583034977,15,"uVSG","-","-","FF08034128"
"M900","VDB|0008-00B5-0-0001|M900-c2799-c0-c3",14709,0.921952546060235,3.69242681218199,3,"uVSG","-","-","FF08034128"
"M697","VDB|0012-004C-0-0006|M697-c3861-c6-c3",8968,0.91157448706512,390.747645259939,341,"uVSG","-","-","FF08034128"
"M787","VDB|000C-001E-0-0006|M787-c3035-c0-c0",20601,0.906703558079705,4.11087317308207,3,"uVSG","-","-","FF08034128"
"M1056","VDB|0028-0052-0-0009|M1056-c3720-c2-c0",1625,0.876923076923077,12.480701754386,13,"uVSG","-","-","FF08034128"
"M1069","VDB|0002-0008-0-000A|M1069-c3754-c0-c0",6483,0.874903594015116,3.72990126939351,3,"uVSG","-","-","FF08034128"
"M1098","VDB|0037-0010-0-0003|M1098-c2579-c0-c5",2849,0.874341874341874,3.39181051786431,3,"uVSG","-","-","FF08034128"
"M1117","VDB|0020-001A-0-0006|M1117-c3877-c1-c0",7264,0.867015418502203,3.03302635757383,2,"uVSG","-","-","FF08034128"
"M706","VDB|002C-0005-0-001A|M706-c2807-c0-c0",33806,0.860616458616814,3.52082903691483,3,"uVSG","-","-","FF08034128"
"M1051","VDB|0046-0118-0-0007|M1051-c3711-c0-c0",15645,0.8474912112496,4.13100535485331,4,"uVSG","-","-","FF08034128"
"M867","VDB|0045-0020-0-0000|M867-c1847-c3-c36",2122,0.823751178133836,9.23169336384439,9,"uVSG","-","-","FF08034128"
"M786","VDB|001E-0067-0-000F|M786-c3034-c0-c0",31196,0.809430696243108,3.80879965149895,3,"uVSG","-","-","FF08034128"
"M902","VDB|004A-0075-0-0000|M902-c3340-c0-c1",23966,0.800342151381123,20.8941661018716,21,"uVSG","-","-","FF08034128"
"M812","VDB|0021-00B8-0-0006|M812-c3113-c0-c4",2084,0.768714011516315,1.66791510611735,2,"uVSG","-","-","FF08034128"
"M954","VDB|0012-0002-0-0002|M954-c3506-c0-c7",2143,0.762015865608959,5.14696876913656,5,"uVSG","-","-","FF08034128"
"M10","VDB|0010-0017-0-0008|M10-c1012-c0-c9",17739,0.752184452336659,6.56673911414225,6,"uVSG","-","-","FF08034128"
"M697","VDB|0010-00F3-0-0001|M697-c3861-c6-c0",10022,1,493.628916383955,353,"uVSG","-","-","FF08034130"
"M282","VDB|0021-002C-0-0008|M282-c2487-c1-c2",2871,0.999651689306862,90.5923344947735,96,"uVSG","-","-","FF08034130"
"M738","VDB|0028-001B-0-0001|M738-c70-c0-c2",2058,0.994169096209913,7.89345063538612,8,"uVSG","-","-","FF08034130"
"M808","VDB|0010-0092-0-0000|M808-c3098-c0-c1",18422,0.982683747692976,16.4142959730431,16,"uVSG","-","-","FF08034130"
"M1102","VDB|004A-0090-0-0001|M1102-c3882-c0-c22",2037,0.97152675503191,8.57150075795857,8,"kVSG","NC_024711_Uncultured_crAssphage","NC_0247111_Uncultured_crAssphage","FF08034130"
"M892","VDB|0016-0020-0-0000|M892-c3062-c0-c2",16136,0.963125929598413,54.7816742809343,47,"uVSG","-","-","FF08034130"
"M706","VDB|002C-0005-0-001A|M706-c2807-c0-c0",33806,0.953528959356327,6.63775399410579,6,"uVSG","-","-","FF08034130"
"M700","VDB|0008-003B-0-0007|M700-c2324-c0-c1",14681,0.92405149512976,3.61064425770308,3,"uVSG","-","-","FF08034130"
"M801","VDB|0030-0086-0-0021|M801-c103-c0-c276",1576,0.897842639593909,3.97597173144876,3,"uVSG","-","-","FF08034130"
"M850","VDB|004C-0058-0-0001|M850-c1541-c0-c13",1633,0.865278628291488,6.56334041047417,5,"uVSG","-","-","FF08034130"
"M867","VDB|0040-015B-0-0000|M867-c2833-c0-c13",1698,0.852179034157833,2.79129232895646,2,"uVSG","-","-","FF08034130"
"M832","VDB|0010-01A7-0-0002|M832-c3151-c0-c5",17994,0.792875402912082,5.13913226326488,3,"uVSG","-","-","FF08034130"
"M1138","VDB|000D-0023-0-0002|M1138-c3917-c0-c0",16396,0.792754330324469,2.62871210955532,2,"uVSG","-","-","FF08034130"
"M229","VDB|0048-0060-0-0000|M229-c1542-c3-c6",9399,0.758804128098734,32.478126752664,5,"uVSG","-","-","FF08034130"
"M697","VDB|0010-00F3-0-0001|M697-c3861-c6-c0",10022,1,790.956296148473,693,"uVSG","-","-","FF08034134"
"M441","VDB|0021-00B5-0-0016|M441-c2494-c4-c0",1733,1,2279.90075014426,2443,"uVSG","-","-","FF08034134"
"M808","VDB|0010-0092-0-0000|M808-c3098-c0-c1",18422,0.999891434154815,21.6388165038002,21,"uVSG","-","-","FF08034134"
"M579","VDB|003C-0074-0-0000|M579-c2470-c0-c0",6751,0.999851873796475,10.8841481481481,11,"uVSG","-","-","FF08034134"
"M1075","VDB|0022-0016-0-0003|M1075-c3777-c1-c0",1606,0.977584059775841,4.07515923566879,4,"uVSG","-","-","FF08034134"
"M311","VDB|0028-0059-0-0005|M311-c1716-c0-c3",4984,0.954253611556982,5.57989907485282,5,"kVSG","NC_029014_Parabacteroides_phage_YZ2015b","NC_0290141_Parabacteroides_phage_YZ2015b","FF08034134"
"M987","VDB|0010-001A-0-0001|M987-c3538-c0-c6",6175,0.932307692307692,3.40350877192982,3,"uVSG","-","-","FF08034134"
"M616","VDB|0008-000A-0-0002|M616-c2556-c1-c0",14007,0.887342043264082,15.6091399147156,13,"uVSG","-","-","FF08034134"
"M197","VDB|0038-004B-0-0002|M197-c1484-c0-c1",6164,0.884977287475665,5.05719523373052,5,"uVSG","-","-","FF08034134"
"M871","VDB|0021-00A8-0-0000|M871-c3032-c0-c6",3817,0.860623526329578,4.09558599695586,3,"uVSG","-","-","FF08034134"
"M832","VDB|0010-01A7-0-0002|M832-c3151-c0-c5",17994,0.85728576192064,6.09328406586283,3,"uVSG","-","-","FF08034134"
"M460","VDB|003A-0035-0-0000|M460-c2090-c7-c4",6923,0.84746497183302,8.70615305948526,9,"uVSG","-","-","FF08034134"
"M900","VDB|0048-005E-0-0003|M900-c3337-c0-c0",23411,0.800948272179745,2.61884699482694,2,"uVSG","-","-","FF08034134"
"M1056","VDB|0028-0052-0-0009|M1056-c3720-c2-c0",1625,0.778461538461538,2.39130434782609,2,"uVSG","-","-","FF08034134"
"M1138","VDB|000D-0023-0-0002|M1138-c3917-c0-c0",16396,0.774640156135643,2.62184079993701,2,"uVSG","-","-","FF08034134"
"M1010","VDB|0028-0051-0-0000|M1010-c3618-c0-c0",1684,0.771971496437055,1.64384615384615,2,"uVSG","-","-","FF08034134"
"M441","VDB|0021-00B5-0-0016|M441-c2494-c4-c0",1733,1,2681.28505481823,2913,"uVSG","-","-","FF08034149"
"M302","VDB|0047-009C-0-0002|M302-c2164-c0-c9",3368,1,14.1389548693587,13,"uVSG","-","-","FF08034149"
"M1056","VDB|0028-0052-0-0009|M1056-c3720-c2-c0",1625,0.998153846153846,7.94451294697904,9,"uVSG","-","-","FF08034149"
"M282","VDB|0016-0085-0-0001|M282-c3522-c0-c5",9468,0.997148288973384,82.7221692617308,103,"uVSG","-","-","FF08034149"
"M1075","VDB|0022-0016-0-0003|M1075-c3777-c1-c0",1606,0.978206724782067,17.7396562698918,18,"uVSG","-","-","FF08034149"
"M720","VDB|0026-003B-0-0001|M720-c2846-c0-c3",3196,0.92459324155194,3.91539763113367,3,"uVSG","-","-","FF08034149"
"M697","VDB|0012-004C-0-0006|M697-c3861-c6-c3",8968,0.894067796610169,1201.43502120229,1065.5,"uVSG","-","-","FF08034149"
"M805","VDB|0028-0052-0-0006|M805-c3083-c2-c3",2112,0.864583333333333,5.28039430449069,5,"uVSG","-","-","FF08034149"
"M1064","VDB|001E-00CE-0-0006|M1064-c3816-c1-c0",4379,0.854076273121717,9.38502673796791,9,"uVSG","-","-","FF08034149"
"M892","VDB|0001-0085-0-0004|M892-c3062-c0-c10",11651,0.8514290618831,24.1970766129032,23,"uVSG","-","-","FF08034149"
"M776","VDB|004F-0100-0-0001|M776-c2215-c0-c4",2668,0.839205397301349,46.8485931219294,50,"uVSG","-","-","FF08034149"
"M759","VDB|0050-005D-0-0000|M759-c2960-c2-c6",1993,0.826392373306573,9.78081360048573,9,"uVSG","-","-","FF08034149"
"M808","VDB|0047-0066-0-0006|M808-c3098-c0-c4",11508,0.820820298922489,6.91096760533559,2,"uVSG","-","-","FF08034149"
"M697","VDB|0040-00CF-0-0002|M697-c3861-c6-c9",6630,1,1058.57631975867,924,"uVSG","-","-","FF08034155"
"M1075","VDB|0022-0016-0-0003|M1075-c3777-c1-c0",1606,0.99813200498132,53.7342482844666,58,"uVSG","-","-","FF08034155"
"M829","VDB|0021-00AF-0-000E|M829-c3144-c0-c0",2052,0.993664717348928,7.61059342815105,7,"uVSG","-","-","FF08034155"
"M759","VDB|0006-002F-0-0003|M759-c2960-c2-c2",2549,0.987053746567281,5.98887122416534,6,"uVSG","-","-","FF08034155"
"M808","VDB|0050-0031-0-0003|M808-c3098-c0-c0",18970,0.980969952556668,16.0962437530227,16,"uVSG","-","-","FF08034155"
"M788","VDB|0048-004B-0-0000|M788-c3039-c2-c2",3632,0.91602422907489,7.85482416591524,8,"uVSG","-","-","FF08034155"
"M171","VDB|0047-000D-0-0004|M171-c1426-c0-c2",1604,0.853491271820449,3.72607742878013,3,"uVSG","-","-","FF08034155"
"M441","VDB|002F-00A6-0-0000|M441-c2353-c0-c9",3868,0.843071354705274,661.315547378105,592,"uVSG","-","-","FF08034155"
"M902","VDB|004A-0075-0-0000|M902-c3340-c0-c1",23966,0.83681048151548,13.6129643480429,13,"uVSG","-","-","FF08034155"
"M988","VDB|0002-0016-0-0002|M988-c3548-c3-c2",2073,0.813314037626628,14.917556346382,14,"uVSG","-","-","FF08034155"
"M10","VDB|001E-0037-0-0007|M10-c3368-c0-c1",7496,0.761205976520811,2.09428671573782,2,"uVSG","-","-","FF08034155"
"M441","VDB|001D-0026-0-0002|M441-c2353-c7-c0",5628,1,212.665955934613,115.5,"uVSG","-","-","FF08034158"
"M697","VDB|0015-000A-0-0000|M697-c3861-c6-c15",4399,1,489.831097976813,513,"uVSG","-","-","FF08034158"
"M757","VDB|004F-0228-0-0001|M757-c2104-c0-c5",2982,0.999664654594232,9.14391143911439,8,"uVSG","-","-","FF08034158"
"M302","VDB|0040-00D9-0-0002|M302-c1701-c1-c14",28203,0.995355104066943,14.4344542604731,11,"uVSG","-","-","FF08034158"
"M1005","VDB|004F-002E-0-0001|M1005-c3596-c0-c1",15616,0.960745389344262,8.03859228154369,8,"uVSG","-","-","FF08034158"
"M727","VDB|004F-0056-0-0001|M727-c2871-c0-c2",33819,0.957390815813596,8.11248378528631,8,"uVSG","-","-","FF08034158"
"M914","VDB|0040-010D-0-0001|M914-c1802-c0-c6",5142,0.948463632827694,14.2485134303875,16,"uVSG","-","-","FF08034158"
"M347","VDB|003A-000C-0-0004|M347-c1113-c0-c4",47288,0.936284046692607,5.51356295878035,5,"uVSG","-","-","FF08034158"
"M298","VDB|004C-0033-0-0003|M298-c1691-c0-c5",19742,0.928882585351028,3.99438324790053,4,"uVSG","-","-","FF08034158"
"M343","VDB|0020-0022-0-0001|M343-c2403-c0-c1",24641,0.887261068950124,7.81809449755294,8,"uVSG","-","-","FF08034158"
"M995","VDB|001E-00BF-0-0000|M995-c3569-c0-c1",19465,0.881685075777036,7.60867031814474,4,"uVSG","-","-","FF08034158"
"M311","VDB|001D-007B-0-0007|M311-c1716-c0-c15",4185,0.831063321385902,4.71995399654974,4,"kVSG","NC_029014_Parabacteroides_phage_YZ2015b","NC_0290141_Parabacteroides_phage_YZ2015b","FF08034158"
"M988","VDB|0002-0016-0-0002|M988-c3548-c3-c2",2073,0.825373854317414,11.5698421975453,11,"uVSG","-","-","FF08034158"
"M282","VDB|0051-0083-0-000C|M282-c3522-c0-c6",7246,0.820314656362131,42.5259084791386,37,"uVSG","-","-","FF08034158"
"M987","VDB|0008-00C7-0-0000|M987-c2772-c0-c0",29719,0.814596722635351,2.73749432029411,2,"uVSG","-","-","FF08034158"
"M361","VDB|0015-0004-0-0003|M361-c3755-c0-c3",2784,0.808189655172414,3.64488888888889,3,"uVSG","-","-","FF08034158"
"M1117","VDB|0020-001A-0-0006|M1117-c3877-c1-c0",7264,0.79102422907489,2.88287504350853,3,"uVSG","-","-","FF08034158"
"M900","VDB|003A-000E-0-0007|M900-c2799-c0-c7",3288,0.777068126520681,3.39256360078278,3,"uVSG","-","-","FF08034158"
"M406","VDB|0050-0059-0-0004|M406-c1658-c0-c35",3517,0.76286607904464,4.01639955273947,3,"uVSG","-","-","FF08034158"
"M808","VDB|0010-0092-0-0000|M808-c3098-c0-c1",18422,1,29.2057322766258,29,"uVSG","-","-","FF08034165"
"M441","VDB|0021-00B5-0-0016|M441-c2494-c4-c0",1733,1,1523.34448932487,1592,"uVSG","-","-","FF08034165"
"M697","VDB|0010-00F3-0-0001|M697-c3861-c6-c0",10022,1,725.054879265616,628,"uVSG","-","-","FF08034165"
